CD63,Fraction (%),,,,
Dist of Copy,R1,R2,R2,R2,R5
1,45,41.74,43.95,43.42,44.07
2,45,44.32,43.95,43.42,44.07
3,0,2.58,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,10,11.37,12.09,11.89,11.85
10,0,0,0,0.15,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
