CD81,Fraction (%),,,,
Dist of Copy,R1,R2,R2,R2,R5
1,24.19,17.77,20.55,26.82,18.68
2,32.19,23.77,27.58,19.83,28.68
3,35.61,35.47,31.98,23.47,24.63
4,7.76,23.00,19.88,29.88,26.18
5,0,0,0,0,1.82
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
